state,pct_bachlors
MT,55328
NH,74991
MN,70315
WY,61584
AK,74346
ND,63837
VT,60782
ME,55602
IA,59955
UT,71414
WI,60773
HI,80212
SD,56274
CO,71953
NE,59566
WA,74073
KS,58218
DC,85203
MA,79835
ID,55583
MI,56697
CT,76348
OR,63426
PA,60905
MD,83242
OH,56111
DE,64805
MO,54478
NJ,81740
VA,72577
IL,65030
IN,55746
FL,55462
OK,51924
RI,64340
NC,53855
SC,52306
TN,52375
AZ,59246
GA,58756
NY,67844
WV,44097
NV,58646
AR,47062
AL,49861
KY,50247
NM,47169
LA,47905
MS,44717
TX,60629
CA,75277
