state,pct_bachlors
MT,39.9
NH,43.0
MN,38.1
WY,38.0
AK,34.6
ND,35.2
VT,42.8
ME,44.9
IA,38.2
UT,31.0
WI,39.6
HI,39.2
SD,37.1
CO,36.9
NE,36.6
WA,37.7
KS,36.9
DC,34.0
MA,39.4
ID,36.6
MI,39.8
CT,41.0
OR,39.4
PA,40.8
MD,38.8
OH,39.4
DE,40.7
MO,38.7
NJ,40.0
VA,38.4
IL,38.3
IN,37.9
FL,42.2
OK,36.7
RI,40.1
NC,38.9
SC,39.6
TN,38.8
AZ,37.9
GA,36.9
NY,39.0
WV,42.7
NV,38.1
AR,38.3
AL,39.2
KY,38.9
NM,38.1
LA,37.2
MS,37.7
TX,34.8
CA,36.8
